MONTH,CITY,STORE,STATUS,ZONE MAPPING,ORDER COUNT,CART SALES,DISCOUNT,NET REVENUE,IDEAL FOOD COST,GROSS MARGIN,KITCHEN EBITDA,VARIANCE,REVENUE COHORT,CM COHORT,EBITDA CATEGORY,EBITDA COHORT,GM_PCT,EBITDA_PCT,AOV,VARIANCE_PCT,VARIANCE_CATEGORY,DISCOUNT_PCT
2023-10-01,Ahmedabad,Ramos-Martin,Inactive,West,14270,6554333.68,1163493.98,5434068.17,1763679.62,3614747.39,2374914.55,29664.62,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,66.52009648969862,43.704172927223325,380.80365592151367,1.681973282653229,Var <2%,17.751521921294675
2023-10-01,Ahmedabad,Drake LLC,Active,North,12361,3971544.22,888746.33,3158828.94,1271805.2,1822334.08,252214.75,17982.19,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%,57.6901793232273,7.984438372278557,255.5480090607556,1.4139107152573365,Var <2%,22.3778530659291
2023-10-01,Pune,"Thomas, Dean and Kelley",Inactive,East,11021,4202495.56,1123306.62,3196270.28,1372216.47,1700911.62,301105.29,20263.87,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%,53.21551280075101,9.420520282158366,290.0163578622629,1.4767254615447079,Var <2%,26.729513546469995
2023-10-01,Hyderabad,Smith-Bradley,Inactive,West,12706,5709492.69,1513926.48,4279244.35,1840266.7,2328502.65,1137049.92,26410.24,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,54.41387449632317,26.57127817438142,336.789260979065,1.435131114419448,Var <2%,26.515954432371817
2023-10-01,Hyderabad,Stone Ltd,Active,South,14760,4960664.78,889983.7,4150072.32,1721686.18,2361360.65,1107156.67,18967.0,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,56.899265071120496,26.67800907141782,281.1702113821138,1.1016525671362478,Var <2%,17.94081518243609
2023-10-01,Pune,"Smith, Flynn and Dawson",Active,East,10645,3777403.48,876893.23,3009977.84,1074857.31,1834099.24,586597.67,19870.18,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%,60.933978171746276,19.48843816072746,282.7597782996712,1.8486342154569335,Var <2%,23.214179651256106
2023-10-01,Ahmedabad,"Myers, Washington and Reeves",Active,West,9914,4708206.16,1070375.09,3722791.44,1685770.02,1896490.31,502208.24,10275.02,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%,50.942695570397035,13.49009870937062,375.5085172483357,0.6095149325291714,Var <2%,22.734244288062357
2023-10-01,Bangalore,Jenkins PLC,Inactive,East,9729,4174985.77,1234485.99,3024335.3,946659.51,1936493.06,578428.98,17762.37,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,64.03036925171625,19.125821796280327,310.857775722068,1.8763208748623885,Var <2%,29.568627487800992
2023-10-01,Ahmedabad,"Hansen, Delgado and Bennett",Inactive,East,8878,3566125.65,619103.58,3009050.58,1030710.66,1876593.82,395153.62,24511.36,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%,62.36498091700406,13.132169416706846,338.9333836449651,2.37810289067933,Var 2%-3%,17.36067768672144
2023-10-01,Mumbai,"Thomas, Williams and Jones",Active,East,9288,3504729.67,770330.19,2812929.37,867782.17,1892578.71,705972.06,14268.29,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%,67.28141595677533,25.097397308628477,302.8563059862188,1.6442248404343225,Var <2%,21.979732034510953
2023-10-01,Ahmedabad,Jacobson-Terrell,Inactive,East,8859,3200170.56,800801.14,2460583.9,863562.49,1496619.54,78854.15,14080.02,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,60.823755694735716,3.204692593493764,277.7496218534823,1.6304575711712537,Var <2%,25.02370186169077
2023-10-01,Bangalore,"Torres, Sanders and Moon",Active,East,11700,5024069.87,1299410.65,3823580.78,1293096.78,2426601.06,910569.76,20781.68,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,63.464098174486594,23.814581471978215,326.80177606837606,1.6071248742882183,Var <2%,25.863705792769952
2023-10-01,Pune,Miller PLC,Inactive,North,9021,3294966.24,822572.64,2534873.49,1075973.93,1350377.33,12.48,23307.73,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,53.271981238006475,0.0004923322623094692,280.9969504489525,2.1661983947882457,Var 2%-3%,24.964524067475725
2023-10-01,Hyderabad,Jenkins Ltd,Active,North,11959,4774557.75,1210324.86,3681162.53,1411414.58,2199809.87,933387.18,10895.03,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%,59.75856409686969,25.355772052803115,307.8152462580483,0.771922733007335,Var <2%,25.34946529864468
2023-10-01,Mumbai,Lane-Pena,Inactive,East,8569,3607591.15,1003124.25,2667120.04,890888.77,1629519.43,333441.45,13714.62,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,61.096591288032165,12.501928859564943,311.2521927879566,1.5394312356187856,Var <2%,27.805929449627353
2023-10-01,Mumbai,Hendricks-Best,Active,South,7167,2733517.07,434027.19,2394791.18,951528.32,1386185.49,41611.41,11478.95,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,57.88335540804855,1.737579892038854,334.1413673782615,1.2063697694252549,Var <2%,15.877976207406675
2023-10-01,Bangalore,Horne LLC,Active,South,12621,5061091.79,782315.64,4358395.76,1910390.46,2321676.78,1060177.57,20264.4,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,53.26906751579622,24.32494955437457,345.3288772680453,1.0607465030996859,Var <2%,15.457448164558976
2023-10-01,Ahmedabad,Bradley-Davis,Active,East,9470,3984449.62,626917.07,3439915.7,1063755.05,2243374.8,956791.57,20148.11,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%,65.21598189164925,27.814390044500215,363.24347412882787,1.894055403074232,Var <2%,15.734094537252549
2023-10-01,Ahmedabad,Henderson Inc,Inactive,South,8901,3718805.48,637855.42,3146130.03,1152803.03,1877677.17,479018.32,16587.8,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,0% to 10%,59.68212222938541,15.225636430545118,353.45804179305696,1.4389101666396555,Var <2%,17.152158762549742
2023-10-01,Ahmedabad,"Perry, Allen and Figueroa",Inactive,West,11798,4299381.33,1018041.06,3419528.28,1374692.48,1931035.48,469555.67,26560.87,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,56.47081474056416,13.731591949284889,289.83965756907946,1.932131759388107,Var <2%,23.678780314189996
2023-10-01,Bangalore,Green-Mcmahon,Active,West,8828,4074695.38,707856.42,3398455.79,1102571.01,2170221.0,841432.39,27421.35,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,63.859032869749356,24.759256615193458,384.9632748074309,2.4870370934204047,Var 2%-3%,17.372008309489875
2023-10-01,Mumbai,"Bishop, Meadows and Sharp",Inactive,West,13890,4537882.33,1141142.89,3460562.91,1660674.86,1719706.53,417397.1,27905.29,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%,49.69441604516301,12.061537699368104,249.14059827213825,1.6803584297048972,Var <2%,25.14703570993653
2023-10-01,Hyderabad,Williams Group,Inactive,South,12842,4179074.6,1196509.31,3067832.45,1376540.62,1557215.68,140668.1,28161.38,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%,50.75947612458431,4.585260189160591,238.8905505372995,2.0458081360505,Var 2%-3%,28.630963180221762
2023-10-01,Pune,"Burnett, Dudley and Hayes",Inactive,East,8688,3439733.12,785885.92,2762916.18,1172625.21,1463272.25,235198.81,27534.21,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,52.961152444371294,8.512701605012134,318.0152140883978,2.348082726278757,Var 2%-3%,22.847293455138754
2023-10-01,Ahmedabad,Medina Ltd,Inactive,West,7402,3510878.2,539646.87,3053713.3,1224313.76,1770343.93,395082.82,22210.65,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,57.973481989943195,12.937783648517364,412.55245879492026,1.81413055424616,Var <2%,15.370708958231589
2023-10-01,Hyderabad,Martin-Arroyo,Active,North,13827,6151417.54,1295314.15,4924484.7,1892846.53,2883430.43,1740750.92,15028.6,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,58.55293712253792,35.34889488031103,356.14990236493816,0.7939682251999585,Var <2%,21.057165142459176
2023-10-01,Ahmedabad,"Navarro, Roberson and Brooks",Inactive,South,7307,2730114.75,577792.87,2183579.29,1001363.93,1076753.22,-259042.43,22242.19,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%,49.31138635226752,-11.863202366239697,298.8338976324073,2.221189453069275,Var 2%-3%,21.16368442022446
2023-10-01,Ahmedabad,Barrett PLC,Inactive,North,14280,6011710.96,1455517.05,4713749.75,2111151.29,2529853.63,1264824.9,18802.97,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,53.66966352000336,26.83266968086288,330.09452030812326,0.8906500490545138,Var <2%,24.211361119730217
2023-10-01,Bangalore,"Harris, Miller and Copeland",Inactive,West,10845,4948959.41,1144601.44,3893919.66,1839854.58,1950846.45,679682.55,16559.97,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,50.099812536964365,17.4549710663522,359.0520663900415,0.9000695044061581,Var <2%,23.128123412917624
2023-10-01,Bangalore,Cooke-Valentine,Inactive,West,7910,3926024.89,795062.04,3212183.72,1035490.28,2043589.81,613464.67,27876.17,INR 30 to 40 lacs,More than 30%,EBITDA +ve,10% to 20%,63.61995415380537,19.098056757475877,406.09149431099877,2.692074521452775,Var 2%-3%,20.251069778622824
2023-10-01,Ahmedabad,Carter LLC,Active,North,8016,2503562.47,644739.13,1984530.1,568281.2,1340120.15,132072.02,16234.97,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,67.52833580100398,6.65507769320304,247.57112025948106,2.8568550217744315,Var 2%-3%,25.752867672600953
2023-10-01,Hyderabad,Russell-Thompson,Active,East,9693,3954627.51,822396.8,3192808.63,1438297.68,1624015.51,189548.3,11960.36,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%,50.86479329642755,5.936725997887321,329.39323532446093,0.8315636023274404,Var <2%,20.795809413665868
2023-10-01,Pune,Stafford-Walker,Inactive,South,10315,4693402.21,1326682.59,3458240.21,1069231.88,2327729.07,970054.71,20662.73,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,67.3096409922317,28.05053007003235,335.26322927775084,1.9324835320099136,Var <2%,28.266969900284767
2023-10-01,Mumbai,"Lewis, Ford and Blanchard",Active,East,11367,3783273.47,818611.18,3039664.71,1258123.91,1641792.51,268699.81,23157.68,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%,54.01228973046833,8.839784503732321,267.41134072314594,1.8406517685527493,Var <2%,21.637642282306384
2023-10-01,Ahmedabad,"Fernandez, Martin and Fields",Active,North,7984,2542670.87,607052.47,2047123.6,738979.6,1160143.26,-209838.16,24471.43,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,56.67187169353135,-10.250390352590337,256.40325651302607,3.3115163124936062,Var 3%-5%,23.87459883866133
